sample_id,theta_ej_0,nu_theta_ej_M,nu_theta_ej_z,mu_beta
323,3.4624269008636475,-0.1174573004245758,0.0119330994784832,0.9679532647132874
324,3.3080191612243652,-0.1812209039926529,-1.1514453887939453,0.6633189916610718
325,4.428143501281738,-0.04951084405183792,-2.8136987686157227,1.2529010772705078
326,3.0970335006713867,-0.2575478255748749,-2.7172956466674805,0.37694618105888367
327,1.5274008512496948,-0.06771351397037506,-1.1891157627105713,0.18558651208877563
328,4.318719387054443,-0.26138216257095337,-0.00234045647084713,0.6267482042312622
329,4.060480117797852,-0.19906842708587646,0.976889967918396,0.29081350564956665
330,1.419701099395752,-0.09121142327785492,0.14459294080734253,0.5276399850845337
331,4.910401344299316,-0.27348488569259644,-1.1415798664093018,0.69573575258255
332,3.740391969680786,-0.23579831421375275,-1.886817455291748,0.6454541087150574
333,3.6203157901763916,-0.0827866643667221,0.6733963489532471,0.8821675777435303
334,3.176297664642334,-0.24482102692127228,0.12260688096284866,0.8870726227760315
335,2.6379849910736084,-0.0014435499906539917,1.1615619659423828,1.2754201889038086
336,2.403144359588623,-0.2746928930282593,-0.4742729663848877,0.9059235453605652
337,3.6911163330078125,-0.15868844091892242,1.1376113891601562,0.6421592831611633
338,4.1329851150512695,-0.021749630570411682,-0.7924667596817017,0.769412636756897
339,2.9266035556793213,-0.26906946301460266,-0.5836516618728638,0.14814460277557373
340,1.6327242851257324,-0.22981508076190948,1.116517186164856,1.3691627979278564
341,4.553035736083984,-0.13503433763980865,1.0458800792694092,0.46979281306266785
342,3.803638458251953,-0.11270789802074432,1.3607693910598755,0.09404009580612183
343,4.882250785827637,-0.17981843650341034,2.3285818099975586,0.49196526408195496
344,5.570199012756348,-0.241562157869339,1.6088861227035522,1.3782386779785156
345,3.4867238998413086,-0.17171691358089447,-0.38142555952072144,0.8976265788078308
346,3.3638062477111816,-0.22531284391880035,-1.8860255479812622,0.18312537670135498
347,2.480501174926758,-0.15433555841445923,1.542273759841919,0.697028398513794
348,3.1775615215301514,-0.10620523244142532,0.6640980243682861,0.3707609474658966
349,3.293203592300415,-0.22813093662261963,1.7800347805023193,1.287172555923462
350,3.097015142440796,-0.19031278789043427,-0.22685882449150085,0.4688929617404938
351,1.0553338527679443,-0.13081315159797668,0.43769320845603943,0.6106384992599487
352,4.231308460235596,-0.14469017088413239,0.2789844572544098,1.2330732345581055
353,3.0970335006713867,-0.2575478255748749,-2.7172956466674805,0.37694618105888367
